experiment_id,seed,spec,model,target,train_weeks,val_weeks,test_weeks,n_features,pos_train,pos_val,pos_test,scoreable,pr_auc_raw,roc_auc_raw,n_unique_raw,pr_auc_cal,roc_auc_cal,n_unique_cal,status
E3|propagation_vulnerability|A|lgbm|seed909,909,A,lgbm,propagation_vulnerability,1-78,87-118,127-156,53,19,4,8,True,0.31487906423473433,0.9731956721147431,8.0,0.31275,0.8057559206137425,6.0,ok
E3|propagation_vulnerability|A|logreg|seed909,909,A,logreg,propagation_vulnerability,1-78,87-118,127-156,53,19,4,8,True,0.7185786435786434,0.9996768679119412,12000.0,0.7185786435786435,0.9996768679119412,11751.0,ok
E3|propagation_vulnerability|B|lgbm|seed909,909,B,lgbm,propagation_vulnerability,1-78,87-118,127-156,61,19,4,8,True,0.31275,0.7074091060707138,7.0,0.31275,0.7108019929953302,6.0,ok
E3|propagation_vulnerability|B|logreg|seed909,909,B,logreg,propagation_vulnerability,1-78,87-118,127-156,61,19,4,8,True,0.3750187312687313,0.9994267011340894,12000.0,0.3750187312687312,0.9994267011340894,11873.0,ok
E3|propagation_vulnerability|C|lgbm|seed909,909,C,lgbm,propagation_vulnerability,1-78,87-118,127-156,62,19,4,8,True,0.31275,0.7074091060707138,7.0,0.31275,0.7108019929953302,6.0,ok
E3|propagation_vulnerability|C|logreg|seed909,909,C,logreg,propagation_vulnerability,1-78,87-118,127-156,62,19,4,8,True,0.3750187312687313,0.9994267011340894,12000.0,0.37501873126873125,0.9994267011340894,11762.0,ok
E3|propagation_vulnerability|C1|lgbm|seed909,909,C1,lgbm,propagation_vulnerability,1-78,87-118,127-156,66,19,4,8,True,0.31275,0.7074091060707138,7.0,0.31275,0.7108019929953302,6.0,ok
E3|propagation_vulnerability|C1|logreg|seed909,909,C1,logreg,propagation_vulnerability,1-78,87-118,127-156,66,19,4,8,True,0.3829552392052392,0.9994579719813209,12000.0,0.3829552392052392,0.9994579719813209,11730.0,ok
E3|propagation_vulnerability|C2|lgbm|seed909,909,C2,lgbm,propagation_vulnerability,1-78,87-118,127-156,65,19,4,8,True,0.31275,0.7074091060707138,7.0,0.31275,0.7108019929953302,6.0,ok
E3|propagation_vulnerability|C2|logreg|seed909,909,C2,logreg,propagation_vulnerability,1-78,87-118,127-156,65,19,4,8,True,0.3824592074592075,0.999447548365577,12000.0,0.3824592074592074,0.999447548365577,11703.0,ok
E3|propagation_vulnerability|C3|lgbm|seed909,909,C3,lgbm,propagation_vulnerability,1-78,87-118,127-156,63,19,4,8,True,0.42105263157894735,0.9995413609072715,7.0,0.42105263157894735,0.9995413609072715,6.0,ok
E3|propagation_vulnerability|C3|logreg|seed909,909,C3,logreg,propagation_vulnerability,1-78,87-118,127-156,63,19,4,8,True,0.650296442687747,0.9995830553702468,12000.0,0.650296442687747,0.9995830553702468,11803.0,ok
E3|propagation_vulnerability|M0|deterministic|seed1201,1201,M0,deterministic,propagation_vulnerability,1-78,87-118,127-156,0,21,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|A|lgbm|seed1201,1201,A,lgbm,propagation_vulnerability,1-78,87-118,127-156,53,21,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|A|logreg|seed1201,1201,A,logreg,propagation_vulnerability,1-78,87-118,127-156,53,21,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|B|lgbm|seed1201,1201,B,lgbm,propagation_vulnerability,1-78,87-118,127-156,61,21,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|B|logreg|seed1201,1201,B,logreg,propagation_vulnerability,1-78,87-118,127-156,61,21,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C|lgbm|seed1201,1201,C,lgbm,propagation_vulnerability,1-78,87-118,127-156,62,21,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C|logreg|seed1201,1201,C,logreg,propagation_vulnerability,1-78,87-118,127-156,62,21,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C1|lgbm|seed1201,1201,C1,lgbm,propagation_vulnerability,1-78,87-118,127-156,66,21,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C1|logreg|seed1201,1201,C1,logreg,propagation_vulnerability,1-78,87-118,127-156,66,21,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C2|lgbm|seed1201,1201,C2,lgbm,propagation_vulnerability,1-78,87-118,127-156,65,21,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C2|logreg|seed1201,1201,C2,logreg,propagation_vulnerability,1-78,87-118,127-156,65,21,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C3|lgbm|seed1201,1201,C3,lgbm,propagation_vulnerability,1-78,87-118,127-156,63,21,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C3|logreg|seed1201,1201,C3,logreg,propagation_vulnerability,1-78,87-118,127-156,63,21,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|M0|deterministic|seed1302,1302,M0,deterministic,propagation_vulnerability,1-78,87-118,127-156,0,19,5,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|A|lgbm|seed1302,1302,A,lgbm,propagation_vulnerability,1-78,87-118,127-156,53,19,5,0,False,,,,,,,unscoreable_no_test_positives
