experiment_id,seed,target,spec,model,status,pos_test,pr_auc,roc_auc
E4|rt_new_stress|B|lgbm|seed1403,1403,rt_new_stress,B,lgbm,ok,20,0.1563276251251073,0.8130968280467444
E4|rt_new_stress|B|logreg|seed1403,1403,rt_new_stress,B,logreg,ok,20,0.43721537365288327,0.7457846410684474
E4|rt_new_stress|C|lgbm|seed1403,1403,rt_new_stress,C,lgbm,ok,20,0.15594601913056708,0.791020450751252
E4|rt_new_stress|C|logreg|seed1403,1403,rt_new_stress,C,logreg,ok,20,0.4906447689032562,0.807491652754591
E4|rt_new_stress|C2|lgbm|seed1403,1403,rt_new_stress,C2,lgbm,ok,20,0.2030484726899711,0.7316151919866445
E4|rt_new_stress|C2|logreg|seed1403,1403,rt_new_stress,C2,logreg,ok,20,0.436567948481981,0.7763397328881471
E4|rt_new_stress|C3|lgbm|seed1403,1403,rt_new_stress,C3,lgbm,ok,20,0.15968455862187347,0.8062917362270451
E4|rt_new_stress|C3|logreg|seed1403,1403,rt_new_stress,C3,logreg,ok,20,0.45190411785336354,0.7543530884808014
E4|propagation_vulnerability|A|lgbm|seed1504,1504,propagation_vulnerability,A,lgbm,ok,8,0.11133395084286703,0.7506723232154768
E4|propagation_vulnerability|A|logreg|seed1504,1504,propagation_vulnerability,A,logreg,ok,8,0.8408549783549784,0.9998123749166111
E4|propagation_vulnerability|B|lgbm|seed1504,1504,propagation_vulnerability,B,lgbm,ok,8,0.013669646845266194,0.7376584389593062
E4|propagation_vulnerability|B|logreg|seed1504,1504,propagation_vulnerability,B,logreg,ok,8,0.2068980632488697,0.9986240827218146
E4|propagation_vulnerability|C|lgbm|seed1504,1504,propagation_vulnerability,C,lgbm,ok,8,0.0011315190506234012,0.18797948632421616
E4|propagation_vulnerability|C|logreg|seed1504,1504,propagation_vulnerability,C,logreg,ok,8,0.7283993783993785,0.9996768679119413
E4|propagation_vulnerability|C2|lgbm|seed1504,1504,propagation_vulnerability,C2,lgbm,ok,8,0.008052697981366461,0.9387456220813877
E4|propagation_vulnerability|C2|logreg|seed1504,1504,propagation_vulnerability,C2,logreg,ok,8,0.7151515151515151,0.9996977151434289
E4|propagation_vulnerability|C3|lgbm|seed1504,1504,propagation_vulnerability,C3,lgbm,ok,8,0.47058823529411764,0.999624749833222
E4|propagation_vulnerability|C3|logreg|seed1504,1504,propagation_vulnerability,C3,logreg,ok,8,0.4266598313966735,0.9993745830553703
